Name	Median	Remark
Almond milk	0.42	Table 5 Median; #LCA studies: 1; #GWP values: 4; Mean: 0.42; Stdev: 0.03; Min: 0.39; Max: 0.44
Almonds	1.54	Table 5 Median; #LCA studies: 4; #GWP values: 6; Mean: 1.74; Stdev: 1.25; Min: 0.51; Max: 3.77
Anglerfish	12.29	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 12.29; Stdev: 2.63; Min: 10.43; Max: 14.15
Apples	0.29	Table 5 Median; #LCA studies: 21; #GWP values: 33; Mean: 0.36; Stdev: 0.19; Min: 0.18; Max: 0.89
Apricots	0.43	Table 5 Median; #LCA studies: 1; #GWP values: 1
Artichokes	0.48	Table 5 Median; #LCA studies: 1; #GWP values: 1
Asparagus	0.83	Table 5 Median; #LCA studies: 5; #GWP values: 28; Mean: 0.92; Stdev: 0.49; Min: 0.18; Max: 2.54
Avocados	1.3	Table 5 Median; #LCA studies: 2; #GWP values: 1
Barley	0.43	Table 5 Median; #LCA studies: 7; #GWP values: 13; Mean: 0.49; Stdev: 0.24; Min: 0.11; Max: 0.98
Beans	0.43	Table 5 Median; #LCA studies: 11; #GWP values: 22; Mean: 0.62; Stdev: 0.45; Min: 0.22; Max: 1.55
Beef	26.61	Table 5 Median; #LCA studies: 49; #GWP values: 165; Mean: 28.73; Stdev: 12.47; Min: 10.74; Max: 109.3
Beetroot	0.24	Table 5 Median; #LCA studies: 2; #GWP values: 3; Mean: 0.23; Stdev: 0.11; Min: 0.11; Max: 1.61
Bell pepper	0.66	Table 5 Median; #LCA studies: 3; #GWP values: 4; Mean: 0.6; Stdev: 0.27; Min: 0.23; Max: 0.87
Bell pepper (greenhouse, heated)	1.1	Table 5 Median; #LCA studies: 2; #GWP values: 3; Mean: 1.08; Stdev: 0.17; Min: 0.9; Max: 1.25
Bell pepper (greenhouse, passive)	1.1	Table 5 Median; #LCA studies: 2; #GWP values: 3; Mean: 1.08; Stdev: 0.17; Min: 0.9; Max: 1.25
Blueberries	0.92	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 0.92; Stdev: 0.07; Min: 0.86; Max: 0.97
Broccoli	0.6	Table 5 Median; #LCA studies: 6; #GWP values: 17; Mean: 0.7; Stdev: 0.34; Min: 0.37; Max: 1.73
Buffalo	60.43	Table 5 Median; #LCA studies: 1; #GWP values: 4; Mean: 62.59; Stdev: 20.35; Min: 28.78; Max: 100.7
Buffalo milk	3.57	Table 5 Median; #LCA studies: 1; #GWP values: 7; Mean: 3.75; Stdev: 0.86; Min: 2.87; Max: 5.2
Butter	9.25	Table 4 Median; #LCA studies: 4; #GWP values: 8; Mean: 11.52; Stdev: 7.37; Min: 3.7; Max: 25
Butter beans	0.39	Table 5 Median; #LCA studies: 1; #GWP values: 3; Mean: 0.36; Stdev: 0.09; Min: 0.26; Max: 0.43
Cantelope	0.25	Table 5 Median; #LCA studies: 1; #GWP values: 1
Carp	1.76	Table 5 Median; #LCA studies: 1; #GWP values: 3; Mean: 1.8; Stdev: 0.11; Min: 1.73; Max: 1.93
Carrots	0.2	Table 5 Median; #LCA studies: 10; #GWP values: 13; Mean: 0.22; Stdev: 0.15; Min: 0.04; Max: 0.5
Cashew nut	1.44	Table 5 Median; #LCA studies: 3; #GWP values: 4; Mean: 1.55; Stdev: 0.85; Min: 1.06; Max: 2.27
Cauliflower	0.36	Table 5 Median; #LCA studies: 4; #GWP values: 4; Mean: 0.35; Stdev: 0.06; Min: 0.28; Max: 0.42
Celery	0.18	Table 5 Median; #LCA studies: 1; #GWP values: 1
Cereal	0.5	Table 4 Median; #LCA studies: 31; #GWP values: 90; Mean: 0.53; Stdev: 0.22; Min: 0.11; Max: 1.38
Cheese	8.55	Table 5 Median; #LCA studies: 22; #GWP values: 38; Mean: 8.86; Stdev: 2.07; Min: 5.33; Max: 16.35
Cherries	0.39	Table 5 Median; #LCA studies: 2; #GWP values: 4; Mean: 0.48; Stdev: 0.4; Min: 0.26; Max: 0.88
Chestnuts	0.43	Table 5 Median; #LCA studies: 1; #GWP values: 1
Chicken	3.65	Table 5 Median; #LCA studies: 29; #GWP values: 95; Mean: 4.12; Stdev: 1.72; Min: 1.06; Max: 9.98
Chickpeas	0.77	Table 5 Median; #LCA studies: 2; #GWP values: 3; Mean: 0.67; Stdev: 0.19; Min: 0.45; Max: 0.8
Coconut milk	0.42	Table 5 Median; #LCA studies: 1; #GWP values: 4; Mean: 0.42; Stdev: 0.03; Min: 0.39; Max: 0.44
Cod	3.51	Table 5 Median; #LCA studies: 10; #GWP values: 16; Mean: 3.49; Stdev: 1.31; Min: 1.58; Max: 5.38
Corn	0.47	Table 5 Median; #LCA studies: 6; #GWP values: 6; Mean: 0.63; Stdev: 0.38; Min: 0.4; Max: 1.38
Cowpeas	0.49	Table 5 Median; #LCA studies: 1; #GWP values: 4; Mean: 0.48; Stdev: 0.13; Min: 0.33; Max: 0.61
Cranberries	0.92	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 0.92; Stdev: 0.07; Min: 0.86; Max: 0.97
Cream	5.64	Table 5 Median; #LCA studies: 3; #GWP values: 4; Mean: 5.32; Stdev: 1.62; Min: 2.1; Max: 7.92
