Product				https://www.fibl.org/de/standorte/oesterreich/schwerpunkte-at/klimaschutz/klimaschutz-projekte/co2-fussabdruck.html	production	transport	packaging	storage
Cucumber	0.232	Konventionell; Production: 0.165; Transport: 0.065; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.165	0.065		
Cucumber (eco)	0.19	Zurück zum Ursprung; Production: 0.124; Transport: 0.064; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.124	0.064		
Strawberries	0.283	Konventionell; Production: 0.157; Transport: 0.029; Packaging: 0.096; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.157	0.029	0.096	
Strawberries (eco)	0.2	Zurück zum Ursprung; Production: 0.074; Transport: 0.029; Packaging: 0.096; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.074	0.029	0.096	
Lettuce	0.124	Konventionell; Production: 0.064; Transport: 0.058; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.064	0.058		
Lettuce (eco)	0.105	Zurück zum Ursprung; Production: 0.045; Transport: 0.058; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.045	0.058		
Turnip	0.165	Konventionell; Production: 0.106; Transport: 0.058; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.106	0.058		
Turnip (eco)	0.13	Zurück zum Ursprung; Production: 0.071; Transport: 0.058; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.071	0.058		
Tomato	0.194	Konventionell; Production: 0.057; Transport: 0.065; Packaging: 0.071; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.057	0.065	0.071	
Tomato (eco)	0.171	Zurück zum Ursprung; Production: 0.035; Transport: 0.065; Packaging: 0.071; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.035	0.065	0.071	
